id, stimuli, condition, looking, away, order, train_looking, train_away, train_looking_prop, total_looking, total_away, total_looking_prop
11,drogu,part,7.739125013,2.004750014,1,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
11,kadro,word,6.844016075,2.004974842,2,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
11,zeka,part,5.00481224,3.496183634,3,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
11,fama,word,14.897368908,0,4,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
11,pagu,part,5.601494074,2.004577875,5,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
11,zupa,word,5.038115025,2.004704952,6,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
11,dafa,part,4.192932129,2.004709959,7,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
11,pera,word,8.435140848,2.004680157,8,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
13,zupa,word,5.109004021,2.003142833,1,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
13,pagu,part,4.040822029,2.002916098,2,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
13,fama,word,2.187590122,2.002995015,3,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
13,drogu,part,2.788474083,2.003110885,4,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
13,zeka,part,4.908716916,3.505746127,5,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
13,kadro,word,3.573263884,2.003035069,6,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
13,dafa,part,3.489738941,3.655786992,7,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
13,pera,word,3.506376028,2.003198147,8,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
12,kadro,word,5.700832844,2.004639149,1,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
12,zeka,part,5.965793848,2.402643204,2,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
12,zupa,word,7.924813986,2.004603147,3,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
