"id","stimuli","type","looking","away","order","train_looking","train_away","train_looking_prop","total_looking","total_away","total_looking_prop"
"1","11","drogu","part",7.739125013,2.004750014,1,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
"2","11","kadro","word",6.844016075,2.004974842,2,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
"3","11","zeka","part",5.00481224,3.496183634,3,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
"4","11","fama","word",14.897368908,0,4,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
"5","11","pagu","part",5.601494074,2.004577875,5,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
"6","11","zupa","word",5.038115025,2.004704952,6,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
"7","11","dafa","part",4.192932129,2.004709959,7,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
"8","11","pera","word",8.435140848,2.004680157,8,57.753004312,15.524581433,0.788140107576,177.998877286,86.278464556,0.67353060253
"9","13","zupa","word",5.109004021,2.003142833,1,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
"10","13","pagu","part",4.040822029,2.002916098,2,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
"11","13","fama","word",2.187590122,2.002995015,3,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
"12","13","drogu","part",2.788474083,2.003110885,4,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
"13","13","zeka","part",4.908716916,3.505746127,5,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
"14","13","kadro","word",3.573263884,2.003035069,6,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
"15","13","dafa","part",3.489738941,3.655786992,7,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
"16","13","pera","word",3.506376028,2.003198147,8,29.603986024,19.179931166,0.606839051253,66.463932036,83.794231893,0.442331586505
"17","12","kadro","word",5.700832844,2.004639149,1,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
"18","12","zeka","part",5.965793848,2.402643204,2,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
"19","12","zupa","word",7.924813986,2.004603147,3,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
"20","12","fama","word",6.479411125,2.00502491,4,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
"21","12","drogu","part",4.938194036,2.005048037,5,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
"22","12","dafa","part",3.944068193,2.004913807,6,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
"23","12","pera","word",7.12568903,2.647950887,7,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
"24","12","pagu","part",4.259111881,2.004750967,8,46.337914943,17.079574108,0.730680379126,157.358454464,97.986699583,0.616257845391
"25","20","kadro","word",10.720849038,4.277008055,1,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
"26","20","fama","word",3.990447044,2.308799029,2,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
"27","20","pera","word",3.837401867,2.299221993,3,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
"28","20","zupa","word",5.062801838,2.243658066,4,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
"29","20","dafa","part",0.488796949,2.015231133,5,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
"30","20","zeka","part",5.641805888,2.799221992,6,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
"31","20","pagu","part",8.873347283,3.589630842,7,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
"32","20","drogu","part",1.789932966,2.015959025,8,40.405382873,21.548730135,0.652182412293,114.283077481,111.148902413,0.50695148725
"33","16","fama","word",12.14738226,2.75027275,1,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
"34","16","kadro","word",14.10260201,0.89438796,2,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
"35","16","zupa","word",7.39118315,2.03778981,3,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
"36","16","pera","word",5.87979913,3.71494889,4,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
"37","16","pagu","part",14.71222591,0.29788804,5,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
"38","16","drogu","part",10.17512178,3.26417017,6,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
"39","16","dafa","part",3.26486587,2.0047741,7,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
"40","16","zeka","part",13.33665609,1.66024304,8,81.0098362,16.62447476,0.829727125674,149.97365641,61.40881348,0.70948956405
"41","19","kadro","word",8.315201997,2.579982997,1,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
"42","19","pera","word",9.637081862,2.010630131,2,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
"43","19","zupa","word",5.73970294,2.014173031,3,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
"44","19","fama","word",10.095791102,2.482165813,4,58.461716891,19.53729105,0.749518723818,125.351073742,116.822950363,0.517607427985
